frame,elapsed_time(s),spine-hip_x,spine-hip_y,spine-hip_c,r-hip_x,r-hip_y,r-hip_c,r-knee_x,r-knee_y,r-knee_c,r-ankle_x,r-ankle_y,r-ankle_c,r-heel_x,r-heel_y,r-heel_c,r-bigtoe_x,r-bigtoe_y,r-bigtoe_c,r-smalltoe_x,r-smalltoe_y,r-smalltoe_c,l-hip_x,l-hip_y,l-hip_c,l-knee_x,l-knee_y,l-knee_c,l-ankle_x,l-ankle_y,l-ankle_c,l-heel_x,l-heel_y,l-heel_c,l-bigtoe_x,l-bigtoe_y,l-bigtoe_c,l-smalltoe_x,l-smalltoe_y,l-smalltoe_c
40,1.6000000000000008,0.720214,0.436399,0.894909,0.695718,0.430057,0.884564,0.692135,0.429899,0.932865,0.67782,0.537111,0.829595,0.660018,0.64439,0.692465,0.766466,0.619071,0.798392,0.649419,0.657151,0.683716,0.674279,0.638223,0.82356,0.706253,0.430231,0.846512,0.699079,0.556188,0.871349,0.752341,0.638387,0.81922,0.702705,0.228085,0.872359,0.748657,0.657045,0.740766
41,1.6400000000000008,0.716727,0.436267,0.878958,0.692143,0.429866,0.92906,0.69179,0.429836,0.909785,0.68847,0.537445,0.836925,0.720205,0.663337,0.405775,0.688504,0.663358,0.651109,0.716777,0.669677,0.476135,0.727426,0.62551,0.749288,0.695756,0.430017,0.924748,0.688474,0.543444,0.868378,0.670728,0.669741,0.651513,0.695722,0.227983,0.897041,0.663653,0.650714,0.631865
42,1.6800000000000008,0.709751,0.430267,0.882147,0.688475,0.423507,0.874207,0.677898,0.423312,0.835865,0.674248,0.531216,0.880146,0.667127,0.650904,0.496162,0.716842,0.632239,0.811437,0.663671,0.657192,0.576899,0.695511,0.631922,0.799275,0.692101,0.423661,0.956557,0.674326,0.537132,0.862014,0.688426,0.669837,0.755197,0.691942,0.227798,0.929599,0.6708,0.663327,0.73849
43,1.7200000000000009,0.702584,0.430145,0.893937,0.677833,0.42371,0.818933,0.670719,0.423446,0.84767,0.667129,0.530932,0.869408,0.66348,0.638186,0.411075,0.695623,0.65701,0.800029,0.660012,0.644417,0.473077,0.688332,0.631799,0.801469,0.688439,0.429744,0.881247,0.663805,0.531198,0.905127,0.667202,0.675693,0.79336,0.688388,0.222007,0.893483,0.663459,0.657117,0.744513
44,1.760000000000001,0.695742,0.436284,0.896002,0.670847,0.429809,0.841083,0.667285,0.423872,0.878538,0.663652,0.530939,0.880704,0.645981,0.657153,0.375843,0.684849,0.657204,0.773503,0.642418,0.663454,0.442066,0.670726,0.63192,0.835427,0.681416,0.430025,0.847692,0.663456,0.531001,0.899539,0.66015,0.676002,0.840504,0.670814,0.221928,0.914591,0.645958,0.669794,0.774508
45,1.800000000000001,0.691892,0.43623,0.870714,0.667095,0.429868,0.893632,0.667127,0.429783,0.890988,0.667293,0.537251,0.905506,0.667195,0.663397,0.277451,0.660141,0.650722,0.839375,0.660118,0.663469,0.264012,0.674368,0.644417,0.815268,0.667172,0.429982,0.891075,0.638826,0.530746,0.959368,0.635224,0.669594,0.904751,0.667221,0.227878,0.933901,0.628233,0.663369,0.786976
46,1.840000000000001,0.688454,0.442595,0.85234,0.66348,0.436198,0.866868,0.660067,0.43026,0.832041,0.667228,0.543478,0.869342,0.663762,0.663355,0.657183,0.628232,0.675865,0.902148,0.65999,0.669761,0.694431,0.681408,0.644435,0.833876,0.663669,0.436329,0.935432,0.635125,0.537176,0.939956,0.603423,0.675789,0.791619,0.660127,0.222042,0.897244,0.599836,0.663373,0.647157
47,1.880000000000001,0.681297,0.442671,0.835575,0.656501,0.43619,0.829196,0.652963,0.430169,0.822576,0.667068,0.543422,0.888239,0.660116,0.663253,0.662788,0.606902,0.675749,0.900067,0.645973,0.669759,0.754924,0.68132,0.638365,0.835018,0.660038,0.436358,0.872249,0.631646,0.543441,0.877627,0.578526,0.657201,0.796189,0.649469,0.227978,0.893635,0.575036,0.638081,0.744785
48,1.920000000000001,0.667407,0.442599,0.870043,0.642348,0.436305,0.856902,0.638921,0.436181,0.895578,0.660092,0.543443,0.885539,0.66351,0.663318,0.665058,0.582253,0.675641,0.840916,0.652968,0.675691,0.737228,0.677879,0.638212,0.834586,0.649441,0.43647,0.812125,0.617594,0.549851,0.844192,0.560811,0.657061,0.732193,0.639002,0.234258,0.859966,0.553878,0.632222,0.732168
49,1.960000000000001,0.663416,0.442604,0.837676,0.635228,0.442507,0.8699,0.635156,0.436379,0.845997,0.653057,0.543543,0.844421,0.659999,0.663446,0.688469,0.575032,0.675648,0.833137,0.645878,0.675713,0.770562,0.674256,0.638441,0.836886,0.635346,0.442585,0.901289,0.606898,0.556224,0.9027,0.550289,0.650741,0.756405,0.635264,0.234321,0.888332,0.550094,0.632036,0.748305
50,2.000000000000001,0.64941,0.442673,0.845651,0.628209,0.442523,0.825271,0.628153,0.436381,0.820951,0.645973,0.549778,0.839787,0.656526,0.663239,0.628025,0.571433,0.669812,0.836766,0.642345,0.669717,0.721387,0.670725,0.638273,0.866731,0.631602,0.442671,0.83578,0.596292,0.55614,0.838034,0.546663,0.657175,0.759006,0.624615,0.234298,0.793258,0.543085,0.638253,0.714955
51,2.040000000000001,0.638668,0.448862,0.882784,0.610653,0.442479,0.846797,0.610643,0.436391,0.872914,0.638814,0.537411,0.91337,0.656579,0.663278,0.638337,0.564369,0.669617,0.821834,0.642363,0.669765,0.729861,0.66736,0.638056,0.893588,0.614053,0.442621,0.811571,0.585625,0.543513,0.863301,0.543071,0.66336,0.742507,0.610574,0.234632,0.861309,0.535956,0.644439,0.676282
52,2.080000000000001,0.628195,0.448987,0.82292,0.606817,0.442658,0.85992,0.606932,0.442505,0.855488,0.628116,0.537469,0.848438,0.656545,0.663338,0.677416,0.560876,0.66958,0.82825,0.642447,0.675693,0.765753,0.667114,0.631906,0.943137,0.606735,0.442734,0.84604,0.578417,0.537271,0.906988,0.536039,0.669756,0.774736,0.606896,0.228293,0.917267,0.528922,0.657005,0.704703
53,2.120000000000001,0.613995,0.436536,0.85889,0.596265,0.436267,0.82988,0.596288,0.430254,0.83526,0.610582,0.537471,0.905475,0.645941,0.663368,0.69723,0.560765,0.66976,0.858098,0.642303,0.675777,0.800317,0.66343,0.625297,0.922756,0.599716,0.436409,0.830039,0.571386,0.537316,0.860147,0.535964,0.675785,0.812932,0.599864,0.228188,0.876421,0.52884,0.663249,0.738886
54,2.160000000000001,0.603381,0.442539,0.844868,0.582072,0.430194,0.8969,0.582129,0.430052,0.904157,0.585765,0.537413,0.85951,0.638961,0.650882,0.721136,0.557423,0.669622,0.824766,0.635397,0.669564,0.846438,0.642312,0.612933,0.882501,0.582091,0.436169,0.887908,0.560838,0.537341,0.863624,0.532483,0.675825,0.813548,0.585564,0.22805,0.93687,0.528826,0.663302,0.731626
55,2.200000000000001,0.582008,0.442508,0.922013,0.578607,0.4301,0.889594,0.578495,0.429996,0.868101,0.571404,0.53735,0.845311,0.621051,0.638313,0.606452,0.560886,0.669667,0.742996,0.610554,0.657125,0.684716,0.628216,0.606553,0.827283,0.58193,0.430276,0.950885,0.55737,0.543439,0.853849,0.539489,0.675851,0.771503,0.578569,0.227882,0.964091,0.528908,0.663234,0.705321
56,2.240000000000001,0.56789,0.442522,0.836887,0.578347,0.42998,0.861763,0.578389,0.429844,0.853886,0.560761,0.531138,0.87656,0.599798,0.638423,0.467022,0.571482,0.66951,0.812628,0.589113,0.657036,0.549433,0.610322,0.619111,0.869453,0.578332,0.430174,0.889265,0.553693,0.537223,0.906897,0.543034,0.675798,0.787287,0.571456,0.22782,0.893818,0.532376,0.657128,0.712655
