frame,elapsed_time(s),neck_x,neck_y,neck_c,spine-hip_x,spine-hip_y,spine-hip_c,r-hip_x,r-hip_y,r-hip_c,r-knee_x,r-knee_y,r-knee_c,r-ankle_x,r-ankle_y,r-ankle_c,r-heel_x,r-heel_y,r-heel_c,r-bigtoe_x,r-bigtoe_y,r-bigtoe_c,r-smalltoe_x,r-smalltoe_y,r-smalltoe_c,l-hip_x,l-hip_y,l-hip_c,l-knee_x,l-knee_y,l-knee_c,l-ankle_x,l-ankle_y,l-ankle_c,l-heel_x,l-heel_y,l-heel_c,l-bigtoe_x,l-bigtoe_y,l-bigtoe_c,l-smalltoe_x,l-smalltoe_y,l-smalltoe_c
44,1.760000000000001,0.677379,0.284271,0.801791,0.671297,0.423208,0.741432,0.666725,0.420556,0.746528,0.668264,0.534975,0.817657,0.677425,0.644021,0.804646,0.683528,0.660296,0.558155,0.649841,0.665725,0.356235,0.649823,0.662983,0.32322,0.67892,0.423333,0.767012,0.652911,0.5323,0.85776,0.668271,0.643905,0.777058,0.678854,0.654817,0.638825,0.643773,0.665756,0.75594,0.654415,0.66855,0.708612
45,1.800000000000001,0.668193,0.289684,0.865211,0.666668,0.426041,0.783682,0.660562,0.425966,0.703009,0.668146,0.537771,0.848038,0.677337,0.643958,0.841781,0.680481,0.660244,0.823649,0.654419,0.663077,0.324525,0.654446,0.657534,0.193852,0.669726,0.428719,0.738563,0.640619,0.532256,0.845239,0.643734,0.646687,0.818923,0.651343,0.662888,0.697057,0.619242,0.665793,0.811904,0.629856,0.671161,0.836747
46,1.840000000000001,0.659036,0.292348,0.831073,0.657536,0.42595,0.762189,0.655916,0.425899,0.752448,0.666603,0.535043,0.839938,0.677399,0.643928,0.853641,0.680555,0.660209,0.801206,0.649852,0.662956,0.83507,0.654379,0.657537,0.73073,0.66364,0.426034,0.741558,0.629992,0.532254,0.891235,0.619211,0.660229,0.843257,0.625327,0.66849,0.762994,0.594641,0.662968,0.835123,0.602319,0.668463,0.833975
47,1.880000000000001,0.652867,0.292583,0.858051,0.649857,0.431486,0.727549,0.643715,0.428783,0.732909,0.659032,0.540413,0.785534,0.677405,0.643924,0.847693,0.681963,0.657601,0.778334,0.651375,0.66296,0.831877,0.65444,0.657599,0.768161,0.654473,0.436865,0.740851,0.620779,0.537718,0.827509,0.596218,0.652163,0.807154,0.597768,0.665814,0.759357,0.570236,0.646627,0.775306,0.577867,0.6603,0.787432
48,1.920000000000001,0.643692,0.295263,0.85792,0.64368,0.434148,0.766173,0.640616,0.434113,0.689853,0.655985,0.545831,0.817069,0.677393,0.64385,0.841268,0.681967,0.654882,0.771481,0.651376,0.663001,0.8243,0.654426,0.660209,0.76839,0.648281,0.436885,0.700739,0.617669,0.537724,0.806229,0.580967,0.643919,0.867625,0.580957,0.662912,0.753573,0.556458,0.638547,0.812503,0.5595,0.644022,0.800012
49,1.960000000000001,0.63304,0.297942,0.811529,0.632981,0.439592,0.745025,0.629974,0.436883,0.712904,0.652862,0.548546,0.810574,0.677348,0.641309,0.834581,0.680552,0.65215,0.7903,0.651354,0.662987,0.83647,0.654421,0.66021,0.781006,0.637594,0.442314,0.723253,0.605481,0.545881,0.811473,0.570193,0.644024,0.856467,0.570186,0.663086,0.774055,0.544185,0.635758,0.764841,0.545761,0.643868,0.820359
50,2.000000000000001,0.625324,0.300676,0.77856,0.623784,0.439637,0.710731,0.620725,0.436905,0.681497,0.643735,0.545847,0.823117,0.674323,0.641176,0.806683,0.680499,0.646732,0.779979,0.651364,0.663029,0.847919,0.65442,0.660257,0.777631,0.626866,0.442366,0.71723,0.593231,0.543149,0.841546,0.565602,0.649461,0.794417,0.56716,0.665877,0.756093,0.535016,0.641201,0.847812,0.541119,0.649415,0.808629
51,2.040000000000001,0.617632,0.303342,0.795364,0.61461,0.439636,0.721565,0.613087,0.439551,0.64035,0.634529,0.543151,0.788439,0.669739,0.635736,0.804117,0.678962,0.641294,0.770161,0.649811,0.665658,0.853648,0.654355,0.662929,0.769669,0.616099,0.442358,0.726434,0.582537,0.537739,0.847216,0.559511,0.649441,0.808921,0.565588,0.665836,0.759102,0.531909,0.649417,0.789347,0.536513,0.662932,0.822883
52,2.080000000000001,0.606941,0.297879,0.818023,0.603917,0.436917,0.73386,0.602377,0.436835,0.652909,0.622304,0.545901,0.798042,0.665176,0.627564,0.819983,0.672782,0.633087,0.758169,0.643754,0.663086,0.842109,0.646777,0.660286,0.718488,0.605398,0.442269,0.742504,0.574766,0.537646,0.829217,0.557916,0.654848,0.831793,0.561028,0.668466,0.739953,0.531841,0.66023,0.782179,0.535007,0.665704,0.838531
53,2.120000000000001,0.596252,0.295231,0.812231,0.594685,0.436847,0.745552,0.594647,0.43417,0.653152,0.606969,0.548552,0.85254,0.65448,0.619325,0.894722,0.666627,0.619324,0.834411,0.643679,0.665732,0.836073,0.645233,0.662961,0.740001,0.594729,0.439598,0.725658,0.56862,0.535003,0.86801,0.556446,0.657527,0.835492,0.559535,0.668431,0.741616,0.528872,0.663017,0.808298,0.533484,0.668453,0.822134
