frame,elapsed_time_s_,neck_x,neck_y,neck_c,spine_hip_x,spine_hip_y,spine_hip_c,r_hip_x,r_hip_y,r_hip_c,r_knee_x,r_knee_y,r_knee_c,r_ankle_x,r_ankle_y,r_ankle_c,r_heel_x,r_heel_y,r_heel_c,r_bigtoe_x,r_bigtoe_y,r_bigtoe_c,r_smalltoe_x,r_smalltoe_y,r_smalltoe_c,l_hip_x,l_hip_y,l_hip_c,l_knee_x,l_knee_y,l_knee_c,l_ankle_x,l_ankle_y,l_ankle_c,l_heel_x,l_heel_y,l_heel_c,l_bigtoe_x,l_bigtoe_y,l_bigtoe_c,l_smalltoe_x,l_smalltoe_y,l_smalltoe_c,switch,badFlag
34,1.36,618.824,169.315,0.875547,617.383,241.414,0.812405,612.933,241.393,0.7603,637.865,298.563,0.842111,661.376,350.016,0.800297,665.79,357.417,0.801592,632.03,357.416,0.78309,637.876,357.295,0.712142,626.149,242.834,0.789749,593.754,297.177,0.891214,567.336,352.987,0.801651,568.796,363.23,0.773696,536.544,344.18,0.838534,542.412,348.579,0.808259,0,0
35,1.4,612.926,169.341,0.868716,611.455,244.298,0.753239,604.161,242.855,0.779366,629.077,298.578,0.866276,661.326,347.099,0.824724,665.776,354.414,0.796834,632.022,358.8,0.816183,637.849,357.324,0.740737,617.284,245.78,0.767593,582.101,298.57,0.89184,558.65,357.29,0.843656,562.965,364.715,0.763158,533.625,348.541,0.847068,536.569,355.906,0.832786,0,0
36,1.44,605.526,169.378,0.909877,604.012,245.771,0.780385,595.263,244.32,0.743233,618.828,298.568,0.850585,654.077,345.672,0.821419,664.29,350.038,0.736329,631.977,358.829,0.864336,636.396,357.359,0.780461,605.628,247.245,0.75977,576.175,298.685,0.861826,558.513,357.392,0.898445,561.489,367.632,0.823336,530.628,357.411,0.881882,535.041,361.767,0.89258,0,0
37,1.48,595.328,169.369,0.876734,593.752,242.798,0.829583,585.027,241.393,0.759795,607.071,298.608,0.865809,651.064,342.682,0.840218,658.44,345.598,0.767392,629.112,358.828,0.880167,632.022,357.345,0.778902,599.687,242.827,0.749237,568.797,298.586,0.889055,557.11,357.407,0.89625,561.491,367.622,0.814952,524.838,360.326,0.845579,533.603,367.621,0.88135,0,0
38,1.52,589.385,167.946,0.842922,582.133,242.839,0.784175,579.144,242.804,0.754169,593.835,300.038,0.914717,640.815,335.296,0.886123,651.146,335.315,0.795976,627.619,358.888,0.883501,629.112,357.383,0.793932,590.844,244.269,0.735107,558.651,298.62,0.887548,557.076,357.426,0.89415,561.483,367.613,0.81188,524.766,360.351,0.828851,533.548,367.643,0.860678,0,0
39,1.56,582.049,167.889,0.863472,577.68,241.301,0.77572,570.376,239.906,0.791291,580.553,300.069,0.906986,629.025,332.405,0.883818,639.381,330.95,0.78847,618.761,357.414,0.874617,620.253,355.9,0.757854,582.043,241.34,0.789384,558.549,297.116,0.859029,557.058,357.377,0.873478,560.088,366.159,0.813115,524.765,360.346,0.827521,533.557,367.632,0.841848,0,0
40,1.6,576.176,160.633,0.767308,570.278,239.841,0.786313,565.897,238.429,0.718642,567.343,300.037,0.868466,615.836,330.934,0.856683,626.116,329.442,0.773945,605.504,354.403,0.828017,605.588,348.596,0.772651,574.716,239.904,0.741324,555.638,298.543,0.852861,557.051,357.376,0.875304,560.082,364.688,0.818308,524.825,360.367,0.812436,533.613,367.639,0.841052,0,0
41,1.64,568.876,160.593,0.797522,564.457,238.378,0.749053,558.549,236.928,0.767382,552.714,298.606,0.844828,599.691,330.934,0.809524,607.026,329.455,0.830977,585.011,351.503,0.805015,585.036,347.121,0.747875,570.255,238.429,0.794709,554.135,298.561,0.823014,557.031,357.382,0.871566,560.088,363.234,0.780461,524.809,361.757,0.797366,533.59,367.647,0.835646,0,0
42,1.68,561.49,159.159,0.795939,557.107,239.835,0.795719,548.317,238.388,0.738859,536.592,297.103,0.83585,582.051,333.853,0.856494,592.312,333.85,0.784268,570.286,351.488,0.596208,570.276,347.125,0.544484,561.528,239.905,0.751045,549.799,300.07,0.835949,557.03,357.374,0.838656,560.038,361.813,0.752026,524.84,361.802,0.776587,533.577,367.631,0.823784,0,0
43,1.72,557.042,159.056,0.803062,549.772,238.374,0.722512,545.318,234.026,0.720541,527.718,291.289,0.816453,567.323,335.284,0.853421,573.272,335.326,0.775842,546.81,345.601,0.287425,545.368,344.128,0.27518,557.154,239.833,0.767258,546.813,298.68,0.864973,557.07,357.355,0.865847,562.976,363.223,0.747058,524.78,363.25,0.802155,533.55,369.08,0.852388,0,0
44,1.76,546.9,159.064,0.787719,546.832,236.929,0.758325,540.963,234.024,0.672585,517.451,288.322,0.868511,540.915,344.119,0.742548,545.354,345.678,0.438509,521.844,355.888,0.793214,521.893,350.013,0.684963,554.18,238.384,0.724048,546.814,298.629,0.906931,557.033,357.323,0.843273,561.523,361.802,0.805237,527.727,361.801,0.817075,535.05,367.639,0.800404,0,0
45,1.8,542.43,159.06,0.734773,539.469,235.469,0.723459,533.604,232.565,0.733733,510.06,288.286,0.910998,521.793,344.13,0.829293,524.798,348.533,0.780803,498.367,351.504,0.72488,499.77,347.121,0.723007,546.771,236.93,0.755557,545.377,298.615,0.880683,557.061,357.309,0.859916,561.512,363.255,0.825187,524.834,360.359,0.851824,533.655,367.633,0.842153,0,0
