frame,mocap_frame,mocap_time,CLAV_x,CLAV_y,LASI_x,LASI_y,RASI_x,RASI_y,LKNE_x,LKNE_y,LANK_x,LANK_y,LHEE_x,LHEE_y,LTOE_x,LTOE_y,RKNE_x,RKNE_y,RANK_x,RANK_y,RHEE_x,RHEE_y,RTOE_x,RTOE_y,SPINEHIP_x,SPINEHIP_y
36,920,9.19,707.369846493494,173.123638486065,716.824188396166,235.441311849092,697.892780990817,230.768638964376,746.078575037561,303.935257433987,771.560535531007,352.160197707271,777.10473499875,350.613477828829,744.586352936492,359.431800413439,673.654227542428,294.082391596126,650.182697760169,349.467485077565,660.743620989304,353.154567809371,627.873431517003,344.207819623115,707.022101785781,233.01906149397
37,924,9.23,697.976264840613,171.477971003215,705.874272317664,234.953336194164,688.581440205355,229.272137835046,735.937702954129,303.294218162976,767.748678150621,349.191084868254,774.010448380214,345.512776508547,743.390273475569,359.588735639658,664.884499151973,292.699029109606,648.326444393478,349.806282642468,659.205838466118,352.495429954435,625.479554010361,349.997457096832,696.92104201441,232.009012568642
38,928,9.27,688.838655990669,169.60654482887,696.259211573805,233.483970986754,679.859904888295,226.900603118092,722.413236498785,303.805003561673,761.856999348349,345.219564063408,768.429101996831,339.004002273912,741.137380084853,359.598058649439,657.827654031625,291.442787193426,647.380626172033,349.820126918331,658.362340290729,351.746126008894,624.46717461975,351.799304746239,687.769359781842,230.072700653697
39,932,9.31,680.061166329884,167.621578972911,687.616046474685,231.689795798725,671.709065021288,224.963934882296,707.715526179548,304.120102385317,752.3733361899,339.900696265706,758.394650032649,331.283640478731,736.07435122908,358.49804317451,652.64355197542,291.251375004935,646.891703338384,349.828293825288,657.903702334935,351.328616607245,623.993394676444,353.400049513168,679.380786234703,228.204726232589
40,936,9.35,672.436728955626,165.648116089822,679.311155254902,229.641882508252,664.205769191695,223.159465176038,693.34534323919,303.797025401296,739.97457210798,336.292812039523,745.340069026267,327.439187268845,725.473179971015,357.878799168978,648.963737805353,291.069210314204,646.734599141674,349.80616617069,657.782959918289,351.110750716445,623.910154061598,353.910985263102,671.490529459762,226.282989811787
41,940,9.39,665.928153689215,164.13368116457,671.56306004381,227.39969008257,657.279710199166,221.415939388579,679.032797378084,302.493200497373,725.02828930238,334.871725160823,729.974760607831,327.263546565981,708.551333375566,356.784161260914,646.129955073155,290.95786863537,646.637425527879,349.81903093755,657.703904021809,350.945770346949,623.829277538418,354.140141186705,664.167429542671,224.299092113177
42,944,9.43,658.89459852198,162.387988741766,664.134655302076,225.297385500524,650.726868242911,220.066338947278,664.722609792051,300.28835622655,707.703513250923,336.120227334314,712.716755270145,330.242672119484,688.875444789693,357.875390876233,644.0664505408,290.962794058854,646.590603605465,349.84441551377,657.646729591955,350.792041426962,623.785263359096,354.200777705244,657.19106433751,222.586437617016
43,948,9.47,651.869456125014,161.001780836816,656.544314835648,223.587726082935,644.44216211049,219.16120238119,650.841808495699,297.474687453831,688.531122289062,339.643382642867,693.967714901681,335.670703136924,666.372801433076,359.095183396202,642.535280204864,291.010729874525,646.590369518261,349.842580808385,657.681093731056,350.611097183466,623.726708670679,354.275744574627,650.275366655579,221.293322478601
44,952,9.51,644.680987712062,160.19811474119,649.001989196338,222.372586147278,638.095131462549,218.752912246173,637.982988088591,294.897370686158,667.650904942547,344.47268601078,673.479937602556,342.452385724238,642.171990524508,360.007089012194,640.91909318371,291.143504706481,646.587868778749,349.813622595332,657.660105332418,350.57805639077,623.640809934572,354.421926950985,643.350773394913,220.49603227107
45,956,9.55,637.312134525466,160.095408087082,641.494982787441,221.926166091802,632.271318481571,219.008149086275,626.530456870337,293.191903712995,645.38946591514,349.285002715827,651.372046576815,348.98565525249,617.455677570158,360.375806267955,638.925376425597,291.4895722078,646.574631462506,349.701755452479,657.676691792191,350.483225577819,623.553527824299,354.695389821203,636.715233716452,220.41330690029
46,960,9.59,629.704051982264,160.793446459505,633.912310186504,222.398638154921,626.073571865111,219.744704893184,616.617214153099,293.057235689615,622.654922369784,352.907927128817,627.747749405487,354.28227284293,593.043391848073,359.235379296495,636.29703353252,292.142612906771,646.571788207257,349.535452943056,657.697977264723,350.311377555752,623.493145946136,355.04069403323,629.849851035921,221.022692006212
47,964,9.63,622.246807809672,162.416880874613,626.068503121806,223.68893281169,619.66951709908,220.928234174934,608.176471433184,294.495887380788,600.311602265384,355.014747510477,603.665626097414,357.48920076084,570.07282547752,355.967599211429,632.823507532835,293.052570863838,646.503884661691,349.402351259597,657.627816294031,350.034604367588,623.412045392925,355.283437581464,622.752099605148,222.25773175887
48,968,9.67,614.132589532542,164.336559752871,617.407548123469,225.699609512973,612.910996664127,222.452773861496,600.616902620644,297.502384620566,579.306041641983,355.36260409846,580.850503845229,358.391067855895,549.74970450424,350.232602888368,628.543722472767,294.282239206192,646.292313376347,349.192102239175,657.362186853406,349.511655136383,623.324411679656,355.412267953151,615.077042475576,224.016474633092
49,972,9.71,605.805315404005,166.403517474519,607.975513562422,227.941408509604,605.652151043113,224.279474343918,592.613592664881,300.461333717062,561.891282236057,354.29598147442,562.476977741634,357.477916959665,533.964029531213,343.902086658136,624.228566728065,295.663948418754,645.978179217454,348.863379544424,657.043423524244,348.787040896733,623.1764342368,355.61688223746,606.771423114502,226.043247162695
50,976,9.75,597.122181376318,168.20272988518,598.216778341521,229.683557053131,598.005186266119,226.254245336859,582.046032269644,301.454223915988,551.028769177901,354.715872062379,552.018523018744,357.957890420102,524.120274784941,342.363095840769,619.720490839703,296.699082596385,645.34684201647,348.046544704263,656.344764818941,347.300426980711,622.84500057003,355.920592484646,598.107233857943,227.906378096872
51,980,9.79,588.102119819669,169.194632736337,587.664221278382,230.541063818508,588.941211217114,227.861133803984,570.237200680007,300.92714271334,545.809837642337,356.059810662927,548.773085466217,359.457967977041,517.369200899287,346.552461654922,614.520541430149,297.07972413639,644.169683452851,346.6005796121,654.910150758726,344.742855642549,622.107758151281,356.285110841662,588.326099728247,229.152152348569
52,984,9.83,578.883162654211,168.819589767989,576.74432204521,230.268504923948,578.949774987747,228.691487478782,559.939206622853,300.07054851123,541.213233994158,356.116906149968,546.502233056797,358.68729920473,512.096803987934,350.864309249667,607.33058504196,296.679769881585,641.616309869252,344.272631240102,651.43074087758,340.788648886977,620.929984963486,356.464372408614,577.887478188154,229.451103567326
53,988,9.87,569.757027063316,167.432301636521,566.656399248419,228.653334178785,569.225264679714,228.442332801638,550.261803603484,298.160344562331,539.325164203186,356.074695610149,545.882088102865,358.196856900709,510.321827364195,353.862783495475,596.092568132771,296.348300568128,636.21107247363,340.145748441057,644.308484944961,334.805163449513,618.814280379151,356.369857292739,567.988239045806,228.54392203493
54,992,9.91,560.858453081955,166.022560412843,557.601089804085,226.92803443116,560.704366627037,227.639717572331,543.511110259005,297.618463171551,538.0330589305,356.126440187942,545.49773144456,357.797750782988,509.372653508224,355.879112130379,581.507932950315,296.49519714793,627.201077939114,333.548959224998,633.265712838933,326.709693546189,615.742716327269,355.364114857337,559.210272887538,227.297025538352
55,996,9.95,552.434183841927,164.524234589161,549.443390019287,225.580861765386,552.902352385315,226.094517754773,538.864934188967,297.786262609039,537.590505063293,355.991711517154,545.358009651405,357.568492116401,509.230732696618,356.528378807745,566.412732594134,295.32884120236,614.87732536162,328.353088708067,618.90463334163,321.202477236458,607.722539469025,354.333402107486,551.237093043072,225.847175400594
