frame,elapsed_time(s),CLAV_x,CLAV_y,CLAV_z,LASI_x,LASI_y,LASI_z,RASI_x,RASI_y,RASI_z,LKNE_x,LKNE_y,LKNE_z,LANK_x,LANK_y,LANK_z,LHEE_x,LHEE_y,LHEE_z,LTOE_x,LTOE_y,LTOE_z,RKNE_x,RKNE_y,RKNE_z,RANK_x,RANK_y,RANK_z,RHEE_x,RHEE_y,RHEE_z,RTOE_x,RTOE_y,RTOE_z,spine-hip_x,spine-hip_y,spine-hip_z,,
980,9.79,-146.605,625.079,1221.26,-59.1471,620.648,860.57,-307.867,678.175,841.837,-32.881,528.422,429.865,-67.5734,394.88,57.4581,-142.098,424.699,4.70424,-102.264,216.041,108.143,-264.591,860.109,391.486,-237.7,1074.9,56.2422,-191.401,1130.99,86.1851,-177.734,913.288,11.5853,-183.50705,649.4115,851.2035,,
984,9.83,-141.654,568.212,1223.07,-59.7429,554.821,861.699,-307.631,613.502,836.031,-38.1787,465.832,433.674,-76.0372,366.776,53.7431,-147.202,410.431,8.01109,-122.395,184.344,71.2284,-264.303,812.201,394.203,-241.119,1057.39,71.5348,-196.283,1107.05,112.096,-179.303,905.964,9.74314,-183.68695,584.1615,848.865,,
988,9.87,-137.108,512.039,1230.91,-57.7699,493.407,871.353,-305.519,550.071,837.542,-42.8122,406.678,444.359,-76.1604,354.782,53.9755,-145.787,406.095,11.9716,-127.464,173.637,48.7631,-268.223,738.614,395.249,-254.817,1022.79,95.8759,-212.491,1061.35,148.164,-186.21,893.72,7.74703,-181.64445,521.739,854.4475,,
992,9.91,-135.11,457.89,1238.82,-56.0991,438.451,881.649,-303.681,494.52,842.665,-42.2019,365.098,447.849,-75.4883,346.504,53.8855,-144.102,403.283,15.4023,-132.245,168.059,33.0516,-277.516,644.169,391.52,-271.968,963.426,136.588,-231.96,989.251,197.924,-193.368,874.689,12.0938,-179.89005,466.4855,862.157,,
996,9.95,-135.306,407.047,1247.23,-53.3735,388.992,889.831,-301.34,443.545,852.693,-40.9343,336.522,447.053,-76.5381,343.786,54.383,-144.34,402.353,16.894,-134.199,167.338,27.8171,-290.446,546.34,395.724,-282.188,880.337,169.85,-240.264,893.07,233.431,-202.457,823.024,15.9929,-177.35675,416.2685,871.262,,
1000,9.99,-136.779,359.321,1256.38,-48.2448,343.801,899.562,-296.814,394.759,865.576,-39.0251,315.666,447.218,-77.4752,342.267,55.1875,-144.55,401.781,18.4724,-134.127,166.525,25.2259,-304.214,450.262,408.919,-285.766,784.05,182.848,-237.538,799.035,241.545,-222.261,709.448,29.0256,-172.5294,369.28,882.569,,
1004,10.03,-138.241,313.415,1266.02,-42.586,301.519,907.026,-292.308,347.947,880.261,-36.9623,300.016,446.082,-78.6099,340.895,55.933,-145.15,401.05,20.3074,-134.134,166.406,24.3443,-315.358,357.589,427.331,-289.781,670.627,175.898,-233.203,690.32,225.725,-256.115,567.874,30.3285,-167.447,324.733,893.6435,,
1008,10.07,-139.383,268.062,1273.75,-36.7395,260.639,911.846,-288.284,302.459,893.365,-36.8051,287.125,444.582,-80.9157,339.512,57.1736,-146.247,400.424,21.9243,-134.745,166.281,24.1364,-321.202,270.413,447.648,-296.382,541.741,151.618,-234.216,568.525,190.7,-282.56,409.526,28.4879,-162.51175,281.549,902.6055,,
1012,10.11,-140.252,223.281,1277.63,-31.3637,220.547,913.989,-284.259,256.607,901.787,-38.0363,273.22,443.679,-82.2819,338.651,58.6408,-147.482,399.352,23.8206,-135.381,166.255,24.1116,-321.658,191.72,463.555,-306.019,398.937,117.824,-241.684,433.028,146.666,-300.695,241.785,27.4848,-157.81135,238.577,907.888,,
1016,10.15,-140.524,178.796,1277.3,-28.6925,181.178,912.904,-282.253,211.42,904.625,-38.0521,257.5,442.093,-82.9018,337.396,59.6516,-147.639,399.035,26.2222,-135.988,166.048,24.2622,-319.505,121.995,471.689,-314.936,245.183,85.5455,-249.614,284.661,103.053,-313.272,71.556,33.0646,-155.47275,196.299,908.7645,,
