frame,elapsed_time(s),spine-hip_x,spine-hip_y,spine-hip_c,r-hip_x,r-hip_y,r-hip_c,r-knee_x,r-knee_y,r-knee_c,r-ankle_x,r-ankle_y,r-ankle_c,r-heel_x,r-heel_y,r-heel_c,r-bigtoe_x,r-bigtoe_y,r-bigtoe_c,r-smalltoe_x,r-smalltoe_y,r-smalltoe_c,l-hip_x,l-hip_y,l-hip_c,l-knee_x,l-knee_y,l-knee_c,l-ankle_x,l-ankle_y,l-ankle_c,l-heel_x,l-heel_y,l-heel_c,l-bigtoe_x,l-bigtoe_y,l-bigtoe_c,l-smalltoe_x,l-smalltoe_y,l-smalltoe_c
47,1.880000000000001,0.677398,0.44767,0.87327,0.651328,0.442302,0.74767,0.645242,0.439601,0.697695,0.662091,0.553899,0.810527,0.654437,0.657505,0.773868,0.599276,0.665817,0.750691,0.651358,0.662886,0.836012,0.677394,0.644048,0.837498,0.654393,0.444948,0.764569,0.620778,0.54315,0.807051,0.576322,0.657555,0.758723,0.649806,0.227125,0.900694,0.570206,0.643922,0.770003
48,1.920000000000001,0.668245,0.447932,0.880958,0.643662,0.445142,0.805939,0.642134,0.445115,0.710246,0.657506,0.556705,0.864185,0.654417,0.660237,0.8108,0.580973,0.665699,0.813742,0.651359,0.663009,0.86767,0.677401,0.644055,0.844159,0.645216,0.447768,0.766607,0.614624,0.553962,0.82612,0.557984,0.643977,0.835169,0.642145,0.229906,0.924311,0.556346,0.638413,0.782407
49,1.960000000000001,0.65748,0.453219,0.834583,0.63297,0.442367,0.773287,0.62996,0.442315,0.729975,0.65436,0.554028,0.876216,0.65441,0.660269,0.790715,0.570152,0.66575,0.810082,0.651348,0.663033,0.840876,0.677356,0.644007,0.831013,0.637587,0.445027,0.752729,0.6054,0.548637,0.834942,0.545737,0.643861,0.843242,0.63151,0.235243,0.862636,0.544142,0.633075,0.779302
50,2.000000000000001,0.64528,0.461394,0.826584,0.623828,0.445103,0.736538,0.622291,0.445,0.668453,0.6468,0.556706,0.825608,0.654381,0.660341,0.777985,0.567148,0.665883,0.762239,0.649845,0.66311,0.839305,0.677338,0.64397,0.831916,0.626828,0.447772,0.725184,0.593175,0.551227,0.863347,0.542592,0.652112,0.801914,0.620774,0.235232,0.836754,0.534993,0.641244,0.844185
51,2.040000000000001,0.633002,0.464144,0.832694,0.616089,0.444952,0.746124,0.614592,0.442331,0.653975,0.640607,0.553964,0.850963,0.652894,0.662946,0.790985,0.565601,0.668445,0.748274,0.6483,0.665673,0.874049,0.669794,0.641084,0.821446,0.616117,0.445057,0.750372,0.582499,0.543104,0.847122,0.536503,0.662919,0.824789,0.611553,0.235318,0.812333,0.531909,0.649373,0.784576
52,2.080000000000001,0.620743,0.464061,0.836897,0.605339,0.43959,0.749029,0.603857,0.439537,0.652924,0.623812,0.548607,0.803722,0.646783,0.660312,0.74274,0.562543,0.66845,0.763732,0.643761,0.663123,0.849219,0.666614,0.627597,0.833616,0.605381,0.442307,0.755026,0.573284,0.537716,0.834006,0.536497,0.665732,0.859695,0.603857,0.232588,0.83769,0.531862,0.660243,0.822033
53,2.120000000000001,0.608508,0.45869,0.830639,0.593228,0.442374,0.77781,0.59466,0.442321,0.667031,0.607026,0.551287,0.861908,0.645269,0.662979,0.764517,0.562523,0.665858,0.79111,0.643705,0.665757,0.863485,0.655933,0.619419,0.909764,0.59321,0.445031,0.773754,0.568598,0.540428,0.844044,0.534969,0.665897,0.852837,0.593191,0.229949,0.902085,0.53036,0.663026,0.834203
54,2.160000000000001,0.594729,0.458659,0.870882,0.584036,0.439543,0.72452,0.585512,0.434173,0.64309,0.593107,0.548551,0.853191,0.640646,0.663084,0.726678,0.562544,0.665897,0.781613,0.637603,0.665788,0.787648,0.642175,0.613958,0.868135,0.584038,0.442316,0.751183,0.559535,0.537751,0.83144,0.534968,0.668532,0.846386,0.582535,0.229726,0.907582,0.530346,0.663114,0.845128
55,2.200000000000001,0.580978,0.450578,0.875818,0.579401,0.42871,0.734209,0.579389,0.426082,0.640455,0.57782,0.543176,0.7948,0.619175,0.654819,0.739078,0.564056,0.665814,0.807685,0.617719,0.660327,0.840311,0.626881,0.605863,0.80622,0.579411,0.431487,0.756125,0.557988,0.537667,0.861972,0.534989,0.668562,0.822987,0.571771,0.227045,0.891275,0.530353,0.665648,0.845146
56,2.240000000000001,0.568628,0.447861,0.892914,0.570256,0.425903,0.740612,0.571721,0.42326,0.602873,0.561005,0.535093,0.826658,0.596233,0.646631,0.747155,0.562542,0.665775,0.841695,0.594702,0.654856,0.812106,0.60699,0.608512,0.842348,0.570234,0.428654,0.779117,0.556397,0.537659,0.859546,0.535034,0.668577,0.829398,0.567115,0.226927,0.882431,0.530376,0.665653,0.860272
