frame,elapsed_time(s),spine-hip_x,spine-hip_y,spine-hip_c,r-hip_x,r-hip_y,r-hip_c,r-knee_x,r-knee_y,r-knee_c,r-ankle_x,r-ankle_y,r-ankle_c,r-heel_x,r-heel_y,r-heel_c,r-bigtoe_x,r-bigtoe_y,r-bigtoe_c,r-smalltoe_x,r-smalltoe_y,r-smalltoe_c,l-hip_x,l-hip_y,l-hip_c,l-knee_x,l-knee_y,l-knee_c,l-ankle_x,l-ankle_y,l-ankle_c,l-heel_x,l-heel_y,l-heel_c,l-bigtoe_x,l-bigtoe_y,l-bigtoe_c,l-smalltoe_x,l-smalltoe_y,l-smalltoe_c
38,1.5200000000000007,686.975,238.34,0.921144,684.007,232.344,0.874839,684.092,229.474,0.847662,690.001,298.648,0.94618,732.087,355.794,0.75537,653.938,352.771,0.832973,729.094,361.85,0.804097,735.265,328.85,0.908634,683.912,232.388,0.890124,656.939,295.567,0.868409,629.803,349.967,0.777301,684.131,129.855,0.915072,620.761,349.687,0.744933
39,1.5600000000000007,684.072,238.405,0.909105,669.017,229.46,0.827918,665.969,229.394,0.862515,668.972,298.507,0.846215,711.179,352.888,0.645103,650.962,352.784,0.746327,708.157,361.818,0.728363,723.139,328.738,0.780004,677.937,232.34,0.839067,659.877,298.453,0.858001,629.849,352.828,0.726116,678.05,126.905,0.834755,617.872,349.733,0.692678
40,1.6000000000000008,683.898,235.328,0.894361,663.029,229.362,0.896852,660.036,229.307,0.920819,659.809,298.464,0.875104,693.044,352.751,0.47931,659.879,349.923,0.771465,687.028,355.853,0.574373,705.029,328.772,0.794163,668.955,229.45,0.866915,656.856,298.434,0.880828,632.886,352.865,0.723307,666.022,123.932,0.829763,623.865,349.719,0.709
41,1.6400000000000008,680.891,235.405,0.826315,659.856,229.244,0.906272,653.897,226.44,0.858684,644.922,295.483,0.831209,638.826,349.871,0.496211,683.989,346.626,0.773294,635.876,352.916,0.54341,665.949,346.675,0.768424,662.894,229.332,0.945618,644.949,292.629,0.835958,662.911,361.825,0.658965,660.053,120.989,0.878782,644.93,355.805,0.635977
42,1.6800000000000008,675.002,232.363,0.856107,653.879,226.314,0.83928,641.987,226.215,0.851178,638.875,286.561,0.851574,632.854,346.888,0.502075,666.085,349.865,0.831073,629.868,349.863,0.535465,659.779,343.801,0.796818,659.886,226.397,0.903097,638.775,289.572,0.878201,638.956,361.854,0.790695,659.783,117.912,0.850343,632.813,352.907,0.7729
43,1.7200000000000009,668.954,232.394,0.842421,644.852,229.31,0.831339,638.997,229.259,0.856452,638.873,289.552,0.836434,617.856,349.93,0.347797,659.849,352.756,0.853146,617.744,355.818,0.39629,647.861,346.656,0.751565,653.856,229.408,0.837096,632.751,289.586,0.821811,632.767,364.84,0.814131,644.882,120.893,0.7794,617.742,358.847,0.802441
44,1.760000000000001,662.928,235.338,0.887711,638.81,229.333,0.921089,635.905,229.3,0.910709,638.919,292.532,0.87791,638.942,349.896,0.301655,629.871,349.832,0.878332,635.787,352.835,0.329436,653.879,346.742,0.86098,641.818,229.414,0.891775,614.69,283.536,0.926005,611.624,352.893,0.880819,638.82,123.885,0.883261,596.729,352.803,0.808768
45,1.800000000000001,659.762,241.42,0.840356,635.725,232.315,0.858209,632.888,229.456,0.82505,638.894,298.44,0.903412,635.846,349.77,0.717196,602.721,358.888,0.839244,626.827,352.795,0.716969,653.903,346.805,0.885448,635.831,232.371,0.907227,608.801,295.607,0.903799,575.589,355.83,0.745421,635.708,120.956,0.839068,569.618,349.862,0.71952
46,1.840000000000001,650.919,241.406,0.834227,626.766,232.414,0.828034,617.857,232.325,0.846363,638.734,298.478,0.926932,629.807,349.904,0.699805,581.627,358.805,0.843481,617.835,355.815,0.767308,653.938,346.864,0.883171,632.849,235.348,0.866026,596.761,295.62,0.883083,557.554,349.936,0.81741,620.839,126.992,0.815743,548.588,346.864,0.756834
47,1.880000000000001,638.911,247.396,0.886283,614.844,238.348,0.854862,614.798,235.368,0.863148,635.68,298.638,0.916169,626.803,352.849,0.695568,560.637,358.833,0.812303,617.761,361.845,0.769148,650.926,349.657,0.867007,614.945,241.346,0.823878,590.629,298.6,0.926486,539.42,349.871,0.833914,614.77,129.895,0.91069,536.448,346.735,0.774994
